"URL","name_with_owner","language","stars","forks","num_topics","topics","size","created_at","type","archived","first_commit","first_workflow","first_run","commit_to_workflow","commit_to_run","last_commit","workflow_to_last","commit_to_last","avg_commits","total_commits","issues","prs","core_devs","non_core_devs","contributor_commits","avg_build_mins","commits_per_day","avg_days_broken_fix"
"https://api.github.com/repos/TurningWheel/Barony","TurningWheel/Barony","C++",399,100,0,"{}",80625,"2016-06-28 06:23:15","User","false","2016-06-28 06:31:12","2020-07-24 20:45:48","2023-11-01 23:02:23","48.87","88.07","2023-11-01 21:40:27","39.22","88.06","139.82",6989,163,556,3,14,2377,"8.42","2.64","0"
"https://api.github.com/repos/nextcloud/polls","nextcloud/polls","JavaScript",226,62,4,"{doodle,nextcloud,poll,vote}",36725,"2016-02-20 16:06:23","Organization","false","2016-02-20 16:06:23","2020-06-12 06:32:35","2023-11-11 13:55:32","51.63","92.54","2023-11-13 01:23:38","40.95","92.59","133.24",7226,1063,2018,3,38,5463,"2.07","4.3","0"
"https://api.github.com/repos/artalar/reatom","artalar/reatom","TypeScript",853,89,10,"{flux,react,reactive,reactive-programming,reactivity,reatom,state,state-management,state-manager,store}",13223,"2019-05-04 06:27:50","User","false","2019-05-04 06:54:45","2022-09-18 00:57:07","2023-11-07 19:45:16","40.4","54.03","2023-11-12 10:25:08","13.79","54.18","33.27",1913,232,418,1,54,1830,"2.9","2.18","0"
"https://api.github.com/repos/KhronosGroup/glTF-Blender-IO","KhronosGroup/glTF-Blender-IO","Python",1330,277,0,"{}",32764,"2018-07-13 19:53:39","Organization","false","2018-07-14 04:28:21","2020-12-01 16:45:55","2023-11-19 09:50:25","28.55","64.12","2023-11-09 17:01:10","35.11","63.83","66.54",4257,1183,696,3,56,3926,"3.63","1.76","0"
"https://api.github.com/repos/jupyterhub/zero-to-jupyterhub-k8s","jupyterhub/zero-to-jupyterhub-k8s","Python",1372,758,7,"{jupyter,jupyter-notebook,jupyterhub,jupyterhub-deployment,kubernetes,kubernetes-cluster,kubespawner}",12261,"2017-04-10 19:25:35","Organization","false","2017-04-10 19:30:57","2022-05-17 03:15:47","2023-10-23 05:08:47","61.19","78.32","2023-11-07 13:35:08","17.63","78.79","26.53",6393,1210,1943,7,195,5360,"0.63","1.8","0"
"https://api.github.com/repos/weaviate/weaviate","weaviate/weaviate","Go",7068,425,20,"{approximate-nearest-neighbor-search,generative-search,graphql,hnsw,hybrid-search,image-search,information-retrieval,mlops,nearest-neighbor-search,neural-search,recommender-system,search-engine,semantic-search,semantic-search-engine,similarity-search,vector-database,vector-search,vector-search-engine,vectors,weaviate}",987183,"2016-03-30 15:03:17","Organization","false","2016-03-30 15:03:18","2020-10-09 00:58:02","2023-08-28 13:38:20","54.22","88.9","2023-11-10 11:02:34","37.03","91.26","123.89",9941,1726,1655,3,67,8672,"1.68","5.03","0"
"https://api.github.com/repos/relative-ci/bundle-stats","relative-ci/bundle-stats","JavaScript",360,18,9,"{bundle-analyzer,bundle-size,bundle-stats,bundlesize,gatsby-plugin,nextjs-plugin,webpack,webpack-analyzer,webpack-plugin}",129835,"2018-02-11 21:33:04","Organization","false","2018-02-11 21:58:57","2022-01-26 07:37:07","2023-11-21 02:51:55","47.32","69.17","2023-11-11 13:33:13","21.4","68.79","263.77",4116,173,3774,1,12,3429,"5.22","2.42","0"
"https://api.github.com/repos/xamarin/xamarin-macios","xamarin/xamarin-macios","C#",2279,495,7,"{csharp,dotnet,ios,macos,tvos,watchos,xamarin}",205878,"2016-04-20 18:24:26","Organization","false","2016-04-21 08:34:12","2022-03-02 04:42:33","2023-11-21 06:59:17","70.21","90.9","2023-11-10 17:45:20","20.17","90.55","112.3",16610,3278,15395,11,130,15834,"0.58","5.79","0"
"https://api.github.com/repos/online-go/online-go.com","online-go/online-go.com","TypeScript",1069,308,1,"{hacktoberfest}",91641,"2017-02-24 15:21:23","Organization","false","2017-02-24 15:33:38","2021-04-13 22:08:03","2023-11-07 20:31:18","49.55","80.26","2023-11-08 18:14:10","30.73","80.28","52.58",6091,1026,1170,4,105,5731,"4.27","3.41","0"
"https://api.github.com/repos/archesproject/arches","archesproject/arches","Python",187,131,6,"{archeology,cidoc,django,graph-database,heritage,python}",217368,"2016-01-11 20:04:17","Organization","false","2016-01-11 20:29:23","2021-01-31 06:54:52","2023-11-16 21:17:00","60.64","94.02","2023-10-18 18:10:49","32.49","93.1","414.38",22489,4216,5252,11,39,20719,"9.1","6.64","0"
