"URL","name_with_owner","id","workflow_id","name","title","author","created_at","status","conclusion","updated_at","name_with_owner-2","login","url","type","admin","contributions","commits","core_qty","core_time","is_core"
"https://github.com/cubefs/cubefs/actions/runs/4538402533","cubefs/cubefs","4538402533","49700703","CI-Release","docs(docs-zh): fix leader stats path of scheduler","pengtianyue025","2023-03-28 01:53:22","completed","success","2023-03-28 01:53:40","cubefs/cubefs","pengtianyue025","https://github.com/pengtianyue025","User","false",90,90,1,0,0
"https://github.com/irislib/iris-messenger/actions/runs/6106086045","irislib/iris-messenger","6106086045","28144970","CI","fix tests","mmalmi","2023-09-07 06:11:40","completed","success","2023-09-07 06:12:40","irislib/iris-messenger","mmalmi","https://github.com/mmalmi","User","false",3472,3472,1,1,1
"https://github.com/thesofproject/sof/actions/runs/6910420447","thesofproject/sof","6910420447","13689990","Reproducible builds","Preparation for zephyr/cmake/math transfer","marc-hb","2023-11-18 00:14:33","completed","success","2023-11-18 00:15:50","thesofproject/sof","marc-hb","https://github.com/marc-hb","User","false",715,715,1,1,1
"https://github.com/fyne-io/fyne/actions/runs/6914965434","fyne-io/fyne","6914965434","19803852","Check license of dependencies","Cleanup GLFW init to avoid needing a sync.Once","Jacalz","2023-11-18 16:10:02","completed","success","2023-11-18 16:10:37","fyne-io/fyne","Jacalz","https://github.com/Jacalz","User","false",727,727,1,1,1
"https://github.com/GIScience/openrouteservice/actions/runs/6849595615","GIScience/openrouteservice","6849595615","3500405","Java CI with Maven","Release 7.1.1 (#1604)","takb","2023-11-13 11:55:54","completed","success","2023-11-13 12:03:17","GIScience/openrouteservice","takb","https://github.com/takb","User","false",1066,1063,1,1,1
"https://github.com/PhantomBot/PhantomBot/actions/runs/6680090317","PhantomBot/PhantomBot","6680090317","1652963","Java CI","Patch 718","gmt2001","2023-10-29 00:28:08","completed","success","2023-10-29 00:30:52","PhantomBot/PhantomBot","gmt2001","https://github.com/gmt2001","User","false",4450,4308,1,1,1
"https://github.com/EDCD/EDDI/actions/runs/5774187509","EDCD/EDDI","5774187509","6938608","Continuous Integration","Continuous Integration","Tkael","2023-08-06 02:32:32","completed","success","2023-08-06 02:39:40","EDCD/EDDI","Tkael","https://github.com/Tkael","User","false",4179,4179,1,1,1
"https://github.com/nextcloud/polls/actions/runs/6834641958","nextcloud/polls","6834641958","1536941","Node CI","Nextcloud 28 - Polls 6.0.0","dartcafe","2023-11-11 13:55:32","completed","success","2023-11-11 13:57:36","nextcloud/polls","dartcafe","https://github.com/dartcafe","User","false",3966,3966,1,1,1
"https://github.com/epam/ketcher/actions/runs/6899215620","epam/ketcher","6899215620","15078268","CI","Macro: #3495 - Is not possible to add RNA presets into the Favourite library","StarlaStarla","2023-11-17 02:41:46","completed","success","2023-11-17 02:48:31","epam/ketcher","StarlaStarla","https://github.com/StarlaStarla","User","false",29,29,1,0,0
"https://github.com/rotki/rotki/actions/runs/6934531676","rotki/rotki","6934531676","973312","Rotki CI","Merge pull request #6952 from LefterisJP/adjust_icons_event_categories","yabirgb","2023-11-20 18:51:43","completed","success","2023-11-20 18:58:06","rotki/rotki","yabirgb","https://github.com/yabirgb","User","false",1123,1122,1,1,1
"https://github.com/magma/magma/actions/runs/6767302831","magma/magma","6767302831","10268360","Magma Check Helm Dependencies","fix(mme): Handling missing support for MME_UE_S1AP_ID and  eNB_UE_S1AP_ID in E-RAB Modification Indication","panyogesh","2023-11-06 06:52:53","completed","success","2023-11-06 06:53:23","magma/magma","panyogesh","https://github.com/panyogesh","User","false",22,22,0,1,0
"https://github.com/awsdocs/aws-doc-sdk-examples/actions/runs/6304264043","awsdocs/aws-doc-sdk-examples","6304264043","24492462","golangci-lint","Reformatting and sorting all Python files with isort and black","ford-at-aws","2023-09-25 20:01:39","completed","success","2023-09-25 20:03:37","awsdocs/aws-doc-sdk-examples","ford-at-aws","https://github.com/ford-at-aws","User","false",281,280,1,0,0
"https://github.com/primer/react/actions/runs/6935719449","primer/react","6935719449","5018334","CI","Adds inactive state to ActionList items","mperrotti","2023-11-20 20:58:52","completed","success","2023-11-20 21:06:42","primer/react","mperrotti","https://github.com/mperrotti","User","true",88,87,1,1,1
"https://github.com/aws/aws-sdk-js-v3/actions/runs/6895313950","aws/aws-sdk-js-v3","6895313950","3604237","codegen-ci","docs: remove API docs developer preview announcement in readme","kuhe","2023-11-16 19:04:57","completed","success","2023-11-16 19:11:47","aws/aws-sdk-js-v3","kuhe","https://github.com/kuhe","User","false",252,249,1,1,1
"https://github.com/KhronosGroup/glTF-Blender-IO/actions/runs/6919728655","KhronosGroup/glTF-Blender-IO","6919728655","3942074","CI","Primitive shared accessor","julienduroure","2023-11-19 09:50:25","completed","success","2023-11-19 09:54:03","KhronosGroup/glTF-Blender-IO","julienduroure","https://github.com/julienduroure","User","false",3018,3016,1,1,1
"https://github.com/umijs/umi/actions/runs/6779732908","umijs/umi","6779732908","10971","CI","feature(SSR): 支持通过导出metadataLoader()设置页面的TDK等meta信息","fz6m","2023-11-07 03:45:26","completed","success","2023-11-07 03:55:04","umijs/umi","fz6m","https://github.com/fz6m","User","false",220,220,1,1,1
"https://github.com/containers/podman/actions/runs/6476798993","containers/podman","6476798993","39544499","rerun_cirrus_cron","rerun_cirrus_cron","openshift-merge-robot","2023-10-11 01:27:04","completed","success","2023-10-11 01:27:26","containers/buildah","openshift-merge-robot","https://github.com/openshift-merge-robot","User","false",859,859,1,1,1
"https://github.com/containers/buildah/actions/runs/6476794048","containers/buildah","6476794048","40490112",".github/workflows/rerun_cirrus_cron.yml",".github/workflows/rerun_cirrus_cron.yml","openshift-merge-robot","2023-10-11 01:26:21","completed","success","2023-10-11 01:26:49","containers/buildah","openshift-merge-robot","https://github.com/openshift-merge-robot","User","false",859,859,1,1,1
"https://github.com/xamarin/xamarin-macios/actions/runs/6940346011","xamarin/xamarin-macios","6940346011","20900064","CI for pwsh","[CoreText] Fix a few nullability issues in CTFontDescriptor. (#19439)","rolfbjarne","2023-11-21 06:59:17","completed","success","2023-11-21 06:59:52","xamarin/xamarin-macios","rolfbjarne","https://github.com/rolfbjarne","User","false",7920,7897,1,1,1
