"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci","is_core","first_commit","days_since_first"
"microsoft/azuredatastudio","6c83736626f9460ad8e9d62c0d49742e32ed5eaf","kburtram","2018-02-10 00:21:22","true","Update flat action bar icons (#652)",259,3,0,1,"2017-11-02 01:00:14","97.97"
"microsoft/azuredatastudio","edd867b6fcc8a8a3cf63147c4d09f42f10f62c8e","kevcunnane","2018-01-16 20:20:58","false","Fix #494 Connection error when connecting to an Azure SQL Server with no firewall rule (#497)

- Reenabled the link and added a click handler that actually opens up the help
- Changed to using an aka.ms link so that if the docs page changes in the future we can update the link and not need to re-ship the code",239,2,0,1,"2017-11-02 01:00:14","74.81"
"microsoft/azuredatastudio","0c14c3cc7fc8b57ec2e56f75fc0284071e0dff98","corivera","2018-01-23 00:02:57","true","Make commit id an argument for the build publish script. (#536)

* Make commit id an argument for the build publish script.

* Make commit an optional argument for publish script.",238,3,0,1,"2017-11-02 01:00:14","80.96"
"microsoft/azuredatastudio","146fd41b509edcf6ed606cad90b30727b9c61a25","kburtram","2018-01-13 04:07:24","true","Update CHANGELOG.md for 0.25.4 release (#485)",233,2,0,1,"2017-11-02 01:00:14","71.13"
"microsoft/azuredatastudio","9a1ac207104d9cd958b8b4d3ea310336cd8849f3","MattIrv","2018-01-26 22:31:49","true","Show current connection info in the status bar (#551)",241,3,0,0,"2017-11-02 01:00:14","84.9"
"microsoft/azuredatastudio","1868a6127ae2dc32c7aa8b6a63eb93066ab44a6f","MattIrv","2018-01-09 20:35:51","true","Fix bug where collapsed OE icon never appeared for selected element (#453)",227,2,0,0,"2017-11-02 01:00:14","67.82"
"microsoft/azuredatastudio","7cf0847ef596c2fe25e7911e925060e96db68240","kburtram","2018-01-11 05:58:27","true","Bump Tools Service version to pick up latest changes (#471)",230,2,0,1,"2017-11-02 01:00:14","69.21"
"microsoft/azuredatastudio","a602c7f5703f285cb5812ca2490299fb47689382","MattIrv","2017-12-18 19:55:27","true","Fix script executable permissions (#347)",197,2,0,0,"2017-11-02 01:00:14","46.79"
"microsoft/azuredatastudio","a3948ac7445cf13e8262c6db304749c00596cfab","alextercete","2018-01-04 21:36:25","false","Fix ""No extension gallery service configured"" error (#427)

The error occurred when trying to install an extension from the new
_File > Install Extension from VSIX Package_ menu entry.

Because there's no gallery URL configured at the moment, querying the
gallery to retrieve package metadata is pointless, and skipping this
step fixes the problem for now.",224,2,0,0,"2017-11-02 01:00:14","62.86"
"microsoft/azuredatastudio","1a210425bedba82217f4e77997e7a63bcf322795","kburtram","2017-11-06 09:20:24","false","Set execute bit on build scripts",0,0,0,1,"2017-11-02 01:00:14","4.35"
"microsoft/azuredatastudio","039b36b02377546e544514f5ba10cdc0f5650270","msftgits","2017-11-02 01:00:14","true","Initial commit",0,0,0,0,"2017-11-02 01:00:14","0"
"microsoft/azuredatastudio","939611d6193d533f6e66aec30191769a5ccfe607","kburtram","2017-11-13 21:41:50","true","Update CONTRIBUTING.md (#3)",0,0,0,1,"2017-11-02 01:00:14","11.86"
"microsoft/azuredatastudio","38d8eaad50533db7b732f009879088933b46e3a7","kburtram","2017-11-11 18:33:26","true","Add additional readme content (#2)",0,0,0,1,"2017-11-02 01:00:14","9.73"
"microsoft/azuredatastudio","b88ecb8d93026f8a13dbe77c4bde145045baa06f","microsoftopensource","2017-11-02 01:00:18","false","Initial commit",0,0,0,0,"2017-11-02 01:00:14","0"
